text,label
Banjir banjir banjir datang lagi sayanggggggg,eyewitness
Bener kan tuh kostan gue banjir Ah sinting bagaimana nasib barang bucin gue,eyewitness
berdoa makanya biar ga banjir,eyewitness
Gegara banjir langsung radasss,eyewitness
Jangan sampai banjir,eyewitness
Kelelep banjir,eyewitness
Sudirman dah banjir wakakak dah lah aku ngakak wae,eyewitness
Tahun baru banjir ,eyewitness
Ujannya udahan dulu ya allah baru kali ini banjir sampe masuk rumah,eyewitness
bangun pagi disambut banjir,eyewitness
maap aku ketawa liat ini pdhl sama depan rumahku banjir,eyewitness
Sampe banjir semoga cepet surut ver ,eyewitness
rumah gua banjir wei,eyewitness
kaget anjir lgi tidur dibangunin gara gara banjir,eyewitness
Baru balik ke rumah dan jalanan banjir,eyewitness
BANJIR HELP,eyewitness
GAK SUKA YA KALO BANJIR GINI BAU KECOA,eyewitness
kirain lagi ofroad ternyata banjir yak wkwk,eyewitness
udah masuk rumahku ini banjir,eyewitness
Banjir jan wkwkwk,eyewitness
Jam tadi gara gara banjir,eyewitness
 jembatan total persada sudah banjir selutut orang dewasa,eyewitness
tauunbbaruan banjir asiap,eyewitness
alhamdulilah banjir,eyewitness
Daerah w banjir dong ,eyewitness
Jam sore sampai sekarang masih blum reda hujan taun baru disambut banjir,eyewitness
banjir banjir,eyewitness
Gw disambut banjir niel boro nungguin dispet,eyewitness
Pdk Surya Mandala Jakamulya Bekasi banjir setinggi cm ,eyewitness
Kalau ujannya gak berenti fix rumahku akan banjir dikit lagi,eyewitness
Bekasi ku knp macet bgtttt ak jarang keluar Sekalinya keluar kejebak banjir hfffffff,eyewitness
Banjir banjir,eyewitness
Jakarta banjir lg ni Doakan manteman smg selamat ,eyewitness
PLN komplek gua ga banjir Gausah di matiin listrik nya,eyewitness
First day of alhamdulillah sekitar rumah masih aman ga banjir,eyewitness
eh tolong kebelet pup gimana ini kamar mandi gue aja banjir,eyewitness
Laper Tapi ga bisa keluar karna banjir ,eyewitness
banjir,eyewitness
Bekasi juga banjir euy,eyewitness
BANJIR Zzzz,eyewitness
Smg banjir segera surut bisa kembali ke rumah,eyewitness
Banjir disini ,eyewitness
Tangerang gak banjir euy manteb padahal deres dari semalem sampe sekarang,eyewitness
Pondok gede Bekasi bang Banjir selutut ,eyewitness
banjir udh sepinggang apa kabar mobil gua ya,eyewitness
depok suda banjir ,eyewitness
Jalanan depan kosan udah banjir ternyata ,eyewitness
Awal tahun dibuka dengan banjir ,eyewitness
Setelah sekian lama kampung gua banjir lagi ,eyewitness
Mau foto mobil kerendem banjir tapi ga tega,eyewitness
Gakbisa masuk komplek grgr banjir mantap tidur dalem mobil depan indomaret,eyewitness
Bekasi banjir kak,eyewitness
tahun hidup baru kali ini banjir sampe masuk rumah ,eyewitness
Banjir dan mati lampu Komplit sudah,eyewitness
Banjir min ,eyewitness
Ya Allah jalanan dibawah rumah yg biasanya ga banjir ini banjir udah se dengkul,eyewitness
Pagi pagi Bangun tidur menikmati banjir ,eyewitness
banjir gais mana brg blm di taro atas smwa,eyewitness
Lama lama kosan bisa banjir nih,eyewitness
First time in forever banjir sampe masuk rumah,eyewitness
ada yg rumahnya banjir rumahku korban gais ,eyewitness
Kemudian rumahku kena banjir sampe kedalem Moga buku perpus ga kehanyut,eyewitness
banjir jugak rumah aku ni kang,eyewitness
banjir woi ,eyewitness
Selamat tahun baru Tahun baruku banjir,eyewitness
banjir pertama waktunya indomie ,eyewitness
Gue suka musim hujan tapi gak sampe banjir gini ya tolong ,eyewitness
banjir terparah dari semalem sampe skrg ujan belum berenti ga kebayang yg rumahnya biasa banjir,eyewitness
Banjir ,eyewitness
wah pertama kalinya kamar mandi gue banjir biasanya gapernah ,eyewitness
Ka icha akan menjadi putri duyung kesekian kalinya kena banjir mulu,eyewitness
jakarta banjir ni,eyewitness
foto banjir di rumah ,eyewitness
Bangun depan rumah banjir anjirr,eyewitness
Tempaku juga udah mulai banjir teh,eyewitness
Page Baru juga pagi udah banjir sampai rumah ajaa ,eyewitness
Jakarta hujan udah sekitar jam langsung banjir,eyewitness
Tangerang sdh banjir kang ,eyewitness
Rumahku juga terjebak banjir,eyewitness
gabisa nonton rumah banjir bye,eyewitness
Keknya baru ini banjir ,eyewitness
ujan lebih dari jam bikin banjir bgt,eyewitness
WKWKWK perumahan gua aja banjir cui,eyewitness
Ini langganan banjir emang ,eyewitness
Jakarta Banjir Just info ,eyewitness
 baru bangun basah ternyata banjir asw,eyewitness
Yang bikin tambah panik ketika banjir adanya ular,eyewitness
sialan gua ga open house buat banjir,eyewitness
ini kok pada banjir rumahnyaa,eyewitness
Bengkulu jga banjir,eyewitness
Banjir gan,eyewitness
udah nggak pernah banjir sekarang kena banjir lagi ,eyewitness
Bangun bangun banjir,eyewitness
Memang klo musim penghujan pasti srlalu banjir ,eyewitness
Ternyata banjir rumah gue belum seberapa,eyewitness
woke up in and tadaaaaa depan rumah banjir wkwk,eyewitness
Ga berenti ujan sama banjir ,eyewitness
guys rumah aku banjir se setengah paha HSKAHSKSJS panik tp kocak anjir,eyewitness
baru tinggal bentar udah kena banjir ,eyewitness
Banjir semeter udah disini,eyewitness
Wadoh sayang bet banjir,eyewitness
Sabar ibuku mas sedang berjuang mencari jalan yang tidak banjir,eyewitness
Disambut dengan banjir,eyewitness
Banjir ga bisa pulang kayaknya,eyewitness
Terpantaw banjir dah selutut binsar panjaitan,eyewitness
aku Tangerang sampe sekarang masih ujan banjir juga,eyewitness
Bisa bisanya hari pertama langsung banjir,eyewitness
Banjir kak ,eyewitness
banjir semoga hujan dan banjir segera reda ,eyewitness
gue bangun jam tadi ngerasa basah gue kira gUE NGOMPOL TERNYATA BANJIR,eyewitness
rumahku banjir ,eyewitness
Hujan banjir dikosan sendiri ga ada air Oke mantap ,eyewitness
kaki ampe mengkerut mo balik pulang jalan kaki jg lumayan bgt banjir gini mah,eyewitness
SIANJIRRR untung rumah gua blm masuk banjir JANGAN SAMPE DAH,eyewitness
Iya nih Jam pagi tuh belom banjir loh net Jam pagi tiba udah sebetis dalem rumah,eyewitness
banjir di bekasi moga cepet surut biar sabina bisa main,eyewitness
BANJIR SE BETIS ,eyewitness
grgr banjir kecoa mati betebaran anjiran,eyewitness
Gila sampe banjir ini depan rumah,eyewitness
Mati lampu Banjir udh hmpir seatap ujannya msh gede bgt Ya Allah mau nangis,eyewitness
Ya Allah baru jam sudah banjir di Jakarta min ,eyewitness
Banjir ,eyewitness
Wah banjir ,eyewitness
ya allah banjir,eyewitness
Ya tuhan ga pernah banjir terus hari pertama sung banjir gini,eyewitness
Ehh di blok b sama blok a ga banjir tauuuu,eyewitness
yaampun di daerah kalian banjir gaa di daerahku banjir sampe masuk rumah ak terjebak di kasur gabisa kemana mana ,eyewitness
banjir woi banjir,eyewitness
Udah banjir malah,eyewitness
Bangun bangun udah banjir anjer ,eyewitness
Bangtan maap yaaaa diriku gaikut hype duluuuuu mikirin banjir ,eyewitness
Sama samaaa Udh banjir lagi,eyewitness
Banjir dan ujan makin gede Siap,eyewitness
mANTEP BGT RUMAH GUA BANJIR WOWKWOKWOWKWOWK ,eyewitness
Rumah gw masih aman fan jalanan depan rumah aja yg banjir U gimana Hujannya awet bgt ni,eyewitness
Ngangkutin barang banjir bang,eyewitness
Banjir hari Jumat Yg masi di jalan hati hati yes ,eyewitness
masih banjir mati lampu ,eyewitness
Iya tau ini lagi banjir,eyewitness
semana banjir juga daerah sini cm alhamdulillah rmh gue engga ,eyewitness
Akhirnya telkomsel sinyalnya normal lagi Tp depan rumah msh banjir msh mati listrik,eyewitness
Banjir di tempat gua ,eyewitness
Kemang pratama banjir btw,eyewitness
Pemberitahuan Libur dikarenakan banjir ,eyewitness
Banjir laaaagi guys,eyewitness
Sini kerumah gk banjir,eyewitness
Bnr kn banjir,eyewitness
Hari ini extend cuti karena khawatir banjir,eyewitness
Bismillah semoga tendean ga banjir gua mau lewat situ ,eyewitness
Udah banjir jalan kota putus Barusan gempa ,eyewitness
Rumah aye kagak banjir tapi mati lampu mpok dari pagi sampe malem bet,eyewitness
Rumah acu banjir ,eyewitness
Yah aku kejebak banjir ,eyewitness
ikan koi gue ilang semua anjir grgr banjir,eyewitness
Banjir hujan terus mati lampu langit gelap Hmm berasa kembali ke ,eyewitness
Banjir parah,eyewitness
Hujan beberapa jam saja jakarta mengalami kebanjiran Adakah tempat yg bebas banjir ,eyewitness
Banjir lagi banjir lagi,eyewitness
Gk bisa kerja dong banjir dimana hikseu,eyewitness
Lanjut bobo kantor masih banjir,eyewitness
Udh mati lampu banjir anjirrrr,eyewitness
demi apa sih kena banjir,eyewitness
Depan kantor banjir arah mau kekantorpun banyak yg banjir bung apakah kerja hari ini ,eyewitness
Tiati banjir,eyewitness
Ini banjir jakarta terparah selama hidup gw ,eyewitness
Kapan lagi kuliah sambil banjir banjiran ya kannn,eyewitness
wow kantorku banjir cm sebetis bawah doang sih but still,eyewitness
Surut dong gue mau berangkat ke kampus banjir semuaaa,eyewitness
Kasian papah gabisa kerja karna banjir ,eyewitness
rumah aku banjir tapi surutnya cepet nah kerumahku ini yg masih pada banjir,eyewitness
banjir banjir huhu,eyewitness
gunung sahari jalan utamanya banjir,eyewitness
Allhamdulillah ditempatku tidak banjir mbak ,eyewitness
Banjir ga bisa kemana mana,eyewitness
Timur jakarta juga masih banjir lho ,eyewitness
ini sih banjir terparah yang pernah gue rasain,eyewitness
Tl ku lagi banjir stay safe semwaaa,eyewitness
Sekarang banjir lagi Tapi kan udah pindah ,eyewitness
Nerjang banjir demi angkut barang kelantai atas semangat ,eyewitness
Pulang ke cikarang disambut banjir di perumahan Trims,eyewitness
hari ini diliburkan karena akses ke kantor putus karena banjir ,eyewitness
Ngeri ya banjir sekarang itu kenanya di area yang justru ga pernah banjir,eyewitness
Banjir sekolah naik getek,eyewitness
Sadisss euy tahun baru dikasi kado banjir kayak gini ,eyewitness
hujan deras Sampai Banjir ,eyewitness
Banjir mas ,eyewitness
ya allah banjir cepet surut kek,eyewitness
ini rumah gw banjir tinggi listrik mati,eyewitness
Banjir wooy banjiiirrr ,eyewitness
Banjir dong,eyewitness
Sekolahnya libur kena banjir huehue ,eyewitness
Semga hujan segera berhenti dan permasalahan banjir cepat segera selesai ,eyewitness
Banjir kak,eyewitness
Sudah surut gak banjir lg ,eyewitness
Banjir banjir banjir datang lagi kawan ,eyewitness
Brebes juga dah banjir,eyewitness
Msh di Bls pabrik banjir krj an numpuk ,eyewitness
lupa nder banjir soalnya,eyewitness
hiya besok ept dan hari ini masih banjir apakah bisa,eyewitness
waduhhh brooo Jakarta banjir bro ,eyewitness
Mangat koh beberes banjir,eyewitness
Hujan masih air dan jakarta masih banjir Haaaaaaaaaaaa,eyewitness
jakarta banjir jakarta banjir,eyewitness
Banjir di tabalong kalsel ,eyewitness
Sejak kemarin Tabalong Kalsel banjir ,eyewitness
banjir dimana mana,eyewitness
Banjir di tabalong ,eyewitness
sumpah ahhhh aaaaaa banjir ah rumahh gini,eyewitness
Jakarta banjir woi ,eyewitness
Ini air berkumpul bersama alias banjir ,eyewitness
wal tanjung sudah banjir Daerah buhan km banjir jua lah ,eyewitness
Banjir tanjung banjirrrr ,eyewitness
kambitin banjir tanjung jadi samudera lim,eyewitness
baru awal february tanjung di guyur banjir,eyewitness
Tanjung banjir,eyewitness
Tanjung aja kah ni yang banjir,eyewitness
Iyaaa tapi tanjung lagi banjir,eyewitness
Di tanjung banjir nh om,eyewitness
Hujan trs tiap hari tanjung banjir parah huhuu,eyewitness
Jakarta banjir mbah ,eyewitness
Jakarta banjir ,eyewitness
tanjung lagi banjir jaringan lwn listrik mati jar ,eyewitness
Tanjung Priok dan sekitarnya banjir,eyewitness
banjir pak ,eyewitness
Astagfirullah banjir lg,eyewitness
Banjir dahhh ,eyewitness
Spti nya ini banjir kiriman kah ,eyewitness
Margonda dpn ITC DEPOK banjir dek rmh adek sblh mana ,eyewitness
Aku kembali dgn badan serasa remuk Banjir menyebalkan ,eyewitness
Walau Banjir hadapi dengan Senyuman ,eyewitness
Demi apa kantor gue banjir lg,eyewitness
Tidak ada angin tidak ada hujan Tiba tiba banjir Kenapa jadi langganan tiap bulan gini ,eyewitness
gatau gue lg ambil minum tau tau udh banjir aja tuh,eyewitness
otw Jkt Ga jadi ah macet banjir ,eyewitness
Saya tinggal di bangka setiap hujan deras pasti banjir daerah sini ,eyewitness
Alhamdulillah barang masih bisa diamankan Kos banjir,eyewitness
Semarang kaline banjir ,eyewitness
Banjir depan sekolah dongggg iniiii hemmmm,eyewitness
Bener bgt Malam ini banjir cuy sedih dah,eyewitness
asliiii belum setahun udah X banjir bawa aku pergi ,eyewitness
Banjir yaa iya kejebak parah ntar bang,eyewitness
BANJIR BANJIR MANA TOA MANA TOA ,eyewitness
Jakrta banjir,eyewitness
Pusat banjir,eyewitness
Ada ada bae ah orang mah lagi pada sibuk sama korona lah ini bekasi banjir lagi cuk,eyewitness
Baru juga tidur eh banjir,eyewitness
Haha banjir,eyewitness
Semoga banjir cpt surut,eyewitness
Ada aja pake segala banjir hadeh,eyewitness
Baru kali ini ngerasain motor mogok gara kerendem air banjir,eyewitness
makin banjir,eyewitness
Beres beres rumah efek banjir,eyewitness
Bogor banjir,eyewitness
Banjir blm kelar udah gempa aja ,eyewitness
Di Rumah Aja Dulu bersihin lumpur Banjir,eyewitness
Jakarta banjir terus,eyewitness
Jakarta bagian banjir,eyewitness
komplek mau banjir yu semangat yu,eyewitness
Bekasi ini mah Setiap hujan banjir,eyewitness
Banjir banjir ,eyewitness
masih banjir gan,eyewitness
Jakarta banjir ,eyewitness
Villa nusa indah banjir lagi,eyewitness
tangerang banjir jg fa wkwkwkwk,eyewitness
Banjir lagi semoga nanti siang surut di FedEx RPX Center Lt ,eyewitness
Lah kosanmu kenak banjir mell,eyewitness
banjir sekalian,eyewitness
Ah banjir Toa siapin Jgn sampai ketiduran Selalu Waspada ,eyewitness
Banjir dong,eyewitness
iyaa bun takut banget nih mana lagi banjir pula huhu ,eyewitness
udah banjir aja hi,eyewitness
Ronda bray jaga jaga dari air banjir malam ini ,eyewitness
tai dimana mana banjir,eyewitness
Semoga ga banjir lagi,eyewitness
Sampah bgt sih skrg banjir,eyewitness
Semoga tidak banjir aja,eyewitness
kemang pratama banjir lagi,eyewitness
Dan akhirnya Jakarta banjir kembali ,eyewitness
macet banjir,eyewitness
stay alert sama banjir dbd jg ya gais,eyewitness
Jalan depan banjir tadi tapi ga banget si,eyewitness
Ini banjir surut sampe kapan si,eyewitness
Lagi nugas poo mantau air banjir di depan rumah wkwk,eyewitness
Skrg jd kawasan banjir,eyewitness
Hampir motor mogok gara banjir,eyewitness
Banjir bosss,eyewitness
Sek kejebak banjir d jakartaaa,eyewitness
pak Banjir pak,eyewitness
Banjir bro ,eyewitness
Iya smngt tapi banjir ini,eyewitness
Banjir lagiiii,eyewitness
Lagi banjir begini malah ngantuk mana lagi rame di rumah ,eyewitness
semoga ga banjir ya kasian teman ku nanti ,eyewitness
Kalo banjir pasti NGUMPET ,eyewitness
ujan ampe pagi besok nya banjir ,eyewitness
Banjir dimana mana macet dimana heuheu,eyewitness
ya allah semoga nggak banjir ,eyewitness
Banjir lagi,eyewitness
Hujan seharian banjir masuk ke rumah ,eyewitness
banjir dr sebelum maghrib surut jam atau set an ini baru selesai bebersih coi ,eyewitness
Rumah aku siaga banjir mulu ,eyewitness
pls banjir damai yuk ak cape tau sebulan kali bersihin kamu,eyewitness
Jakarta banjir lagi lagi banjir,eyewitness
Iya ni udh banjir,eyewitness
Mudah mudahan cuma siaga dan nggak jadi banjir,eyewitness
duhh moga ga banjir dehh ,eyewitness
Pulang jam segini sendirian jalan kaki dan banjir,eyewitness
rumah gua banjir ,eyewitness
Lockdown suruh di rmh terus tau taunya banjir hahahahahahahah,eyewitness
Banjir juga,eyewitness
Jangan banjir lagi ,eyewitness
Banjir Mulu jink,eyewitness
rumah gue banjir,eyewitness
Udah dapet laporan aja dari rt mau banjir,eyewitness
kelelep banjir,eyewitness
Banjir kak tadi jalan jalan deket sini,eyewitness
Banjir kayaknya,eyewitness
Wah banjir ,eyewitness
Tetiba banjir datangggg,eyewitness
Yok jgn banjir yok,eyewitness
Iya huhuu padahal blm setengah tahun tp banjir terus ,eyewitness
Ya Allah banjir lagi villnus,eyewitness
Tadi sore niatnya bikin ubi kopong eh malah ngurusin banjir,eyewitness
Mulai banjir lagi dmn yaa,eyewitness
BANJIR NEEE,eyewitness
Banjir menehhh Welahhh dalahhhh,eyewitness
Banjir macet,eyewitness
Banjir lagi nih ,eyewitness
Udah please jgn banjir lagi,eyewitness
Mo banjir lagi di bekasi yaallah ,eyewitness
Banjir ka,eyewitness
cuk udah wabah corona banjir pula bekasi duh cobaan bener ini taun,eyewitness
Banjir teros,eyewitness
uts diundur kelas diubah jd online semua eh plg malah kena banjir wkwkwkwkwk fuck ,eyewitness
Motor sih di dlm rumah sil Di blok w udh banjir,eyewitness
Awas banjir ,eyewitness
Ya Allah balik ke kostan akses jalannya banjir,eyewitness
 banjir,eyewitness
Bengkulu banjir dan gempa ,eyewitness
banjir banjir go away,eyewitness
kirain ada sesuatu diatas lemari semoga gajadi banjir ya lgsg surut ,eyewitness
Kena banjir dijalanan smpe mogok bete banget dah rasanya,eyewitness
Iya tadi sore tempat gue banjir juga ternyata,eyewitness
rumah i banjir,eyewitness
bru selesai bersi bersi banjir,eyewitness
ASLI NIH KEMANG PRATAMA BANJIR LAGI GAK SIK JANGAN YA ALLAAAAAAH,eyewitness
Semoga ga banjir lg ya Rabb ,eyewitness
aduh tolong yaa jangan banjir lagi,eyewitness
Lagi banjir belum surut Eh gempa ,eyewitness
Demi apa banjir lagi mut ,eyewitness
demi apa ki banjir,eyewitness
bekasi siaga banjir TOLOONGGG,eyewitness
Banjir aja kiriman kali kali makanan kiriman kek bukan banjir kiriman,eyewitness
Ya tuhan hentikan banjir di perumahan ku,eyewitness
Potensi banjir,eyewitness
udah corona skrg ditambah banjir lengkap sudah penderitaan negri ini,eyewitness
Banjir ,eyewitness
hah ko banjir emg kpn ujan ,eyewitness
jgn banjir flis,eyewitness
Banjir ,eyewitness
banjir deh kayanya,eyewitness
Banjir guys,eyewitness
Banjir kaaa kayaknya karna ujan gede tadi,eyewitness
Iya ini dapet hadiah banjir kiriman ,eyewitness
Awas banjir ,eyewitness
Dari kmrnkmrnsiih Tapi ini banjir kiriman,eyewitness
Udah lagi ga enak badan lemes banget malem masih harus was banjir,eyewitness
skrg lg banjir jung,eyewitness
Plis lah jangan banjir dulu yatuhan,eyewitness
Oalajingan alarm banjir bunyi,eyewitness
Banjir lagi Bismillah sabar dan kuat,eyewitness
jgn sampe banjir lg please ,eyewitness
Lagi sibuk nungguin banjir si pinggir kali nih,eyewitness
Gila ya banjir lagi,eyewitness
jalan ke mana cileungsi aja banjir,eyewitness
Pdhl rumah gw udh tinggi tetep aja kena banjir duh yg blok blkg udah sedada dii ,eyewitness
banjir mulu bekasi capek bgt yaallah,eyewitness
Anjer males bgt pindah kebawah malah banjir,eyewitness
ngungsi again semoga gak banjir yaallah,eyewitness
Ini masih banjir ,eyewitness
Banjir terus terus banjir ,eyewitness
akhirnya nyampe ruma dimana banjir gabisa lewat hffftt,eyewitness
Banjir bandang ,eyewitness
Ada ada aja daah malem banjir,eyewitness
tolong lah gosah banjir capek ,eyewitness
bekasi jangan banjir plis,eyewitness
hahaha mana tau kan msh banjir sampe skrg dir ,eyewitness
takut banjir ya,eyewitness
Ya Allah banjir lagi lah ,eyewitness
Kemang banjir juga,eyewitness
baru mau tidur terus ninu ninu mo banjir tu gmn ya sontak kaget,eyewitness
Udah mulai banjir nih,eyewitness
mana banjir lagi ka,eyewitness
Banjir ,eyewitness
Nonton kimsabu bikin nangis banjir sampe pusing,eyewitness
Wakakakakak ujan dikit mah muncul banjir kalo di ekek,eyewitness
Banjir gais,eyewitness
Otw banjir men,eyewitness
di rumah banjir,eyewitness
Dibangunin karna banjir Astaga sampe kapan ini,eyewitness
woi tugas banyak di tambah mao banjir pula,eyewitness
Di atas banjir Berasa gw beranang ya allah hahaha,eyewitness
Nih pulang banjir,eyewitness
Alhamdulillah rumah ga kena banjir,eyewitness
dirawa makmur masih banjir soalnya,eyewitness
Pontianakpun banjir ba hari ini,eyewitness
Woooooiiii banjir woooooiiii ,eyewitness
mantap ga bs pulang bro banjir,eyewitness
lagi rame corona tau tau banjir,eyewitness
Baru hujan kejap dah banjir,eyewitness
malem malem naik dong villa nusa indah udah banjir ,eyewitness
Macetnya jakarta karna banjir horor sih,eyewitness
yaAllah banjir,eyewitness
jangan banjir lg plis,eyewitness
Mo banjir,eyewitness
 aku ujan deres sampe banjir skrg gaada sinyal,eyewitness
Banjir lagi,eyewitness
